#Distances    VirialMass
45.0390098674  10244400000.0
50.1636989162  7288020000.0
48.9418114109  7285660000.0
50.6292312561  7269120000.0
45.9327839052  7245490000.0
73.1554787111  3.70727e+12
49.8229531197  7217130000.0
96.3006855068  3.68065e+12
51.7862807305  7188770000.0
47.2761213503  7174590000.0
54.1408621538  7169870000.0
49.0949977467  7167500000.0
55.0321552066  7139140000.0
46.5139008944  7136780000.0
48.3239934211  7136780000.0
52.8186595586  7115510000.0
48.3583811244  7113150000.0
48.1610037654  7108420000.0
46.8126973334  8070230000.0
44.9753035044  7077700000.0
49.9794233276  13271600000.0
54.5695989884  7068250000.0
57.6453600041  7080070000.0
47.5340923273  7056430000.0
47.5169976066  7039890000.0
47.630322764  7035170000.0
51.1272731021  7020990000.0
53.6960854257  23577400000.0
56.0915293861  7009170000.0
48.1864923816  7004440000.0
45.1117972366  6999720000.0
47.3197954978  6994990000.0
48.9336308034  6994990000.0
47.1661092671  6985540000.0
47.3620464229  6983180000.0
52.8841590497  6978450000.0
53.8603236004  6959540000.0
50.7489092495  6928820000.0
51.2202992372  6928820000.0
48.1832629072  6917010000.0
46.3796104131  6902830000.0
47.26850899  6891010000.0
49.4419878773  6888650000.0
46.3364391314  6857930000.0
51.1677444686  6853200000.0
50.1597615527  6853200000.0
69.1867930248  3.50521e+12
49.8169540027  6834300000.0
72.3464621939  3.4919e+12
44.8838874078  6815390000.0
55.1953106987  3.48464e+12
47.4201483322  7028080000.0
52.9877350077  6794120000.0
64.1431238147  3.47012e+12
53.7645086357  6772850000.0
54.4072031677  6770490000.0
51.6906687271  6765760000.0
47.1846930082  6758670000.0
53.7871651822  6758670000.0
56.8218933853  6756310000.0
56.0856709078  6753950000.0
50.4203356538  6742130000.0
54.3266930653  6739770000.0
45.9420472354  6727950000.0
44.7188591227  7644860000.0
54.2378937445  6701960000.0
48.4466876021  6699590000.0
55.2813196519  6692510000.0
47.5649347949  6690140000.0
51.6164646738  6690140000.0
52.9222171356  6683050000.0
51.8121403441  6668870000.0
45.005190531  6661780000.0
49.6933529737  6645240000.0
55.9415485386  3.39873e+12
44.2086345966  18888800000.0
49.8391574138  6614520000.0
49.8351168499  6595620000.0
54.2355830802  6595620000.0
46.9655829822  7240760000.0
54.8292841063  6595620000.0
46.2376662833  6574350000.0
47.3992961686  6567260000.0
57.5815482884  3.35881e+12
47.1865165587  6557800000.0
48.1395846258  6820120000.0
46.0597984315  6553080000.0
46.5743944347  6550710000.0
44.6258436312  14086900000.0
52.7187258367  6538900000.0
52.679156255  6536540000.0
52.6708520912  6531810000.0
49.6479364514  6529450000.0
47.8683388123  6527080000.0
49.2409688245  6512900000.0
50.1916275368  6505810000.0
54.1116827969  6505810000.0
48.3920025079  6498730000.0
50.5266849925  6498730000.0
53.0373563902  6482180000.0
56.2920643982  6475090000.0
52.8838173227  3.30799e+12
52.7881495278  6460910000.0
49.3014731181  6449100000.0
58.5174710263  3.2971e+12
48.0611766443  6420740000.0
57.3359109855  6553080000.0
52.2401568084  6671240000.0
49.5279649521  6406560000.0
48.0212335791  6404200000.0
56.0550212347  6404200000.0
57.1970467182  6380570000.0
45.3936823125  6366390000.0
51.8853302737  6359300000.0
49.6874761418  21093700000.0
54.1179948834  16192500000.0
47.1445550858  6340390000.0
45.3986403977  6335670000.0
53.3781741821  6335670000.0
46.3891881191  6333300000.0
50.2721432428  6333300000.0
29.0170901883  3.23539e+12
51.0113290493  6309670000.0
48.8034645735  6304940000.0
53.7331012147  6302580000.0
52.6370355271  6314400000.0
50.5806601055  35376700000.0
57.910548059  29948500000.0
46.8343255007  6286040000.0
49.1856275444  6286040000.0
54.1881892403  6283680000.0
56.2582392929  7978070000.0
55.2110947044  6255320000.0
48.5277291277  6238780000.0
54.7653197253  6236410000.0
55.8445567371  3.18336e+12
52.8848944326  6217510000.0
47.2178128795  6543630000.0
53.4083000392  6193880000.0
52.1572008715  6184420000.0
51.4327823015  6179700000.0
54.2281570935  6170240000.0
54.1386885242  3.14586e+12
52.4897853102  6137160000.0
56.2077313964  6134800000.0
47.5184145822  183751000000.0
51.3381865073  137182000000.0
54.7364130264  6108800000.0
47.1140023106  6092260000.0
48.7753094479  6087530000.0
56.4168293499  3.11319e+12
52.1397725256  6075720000.0
54.429463019  6073350000.0
50.2577093234  8134040000.0
57.0604042369  6460910000.0
53.8778406954  6035540000.0
45.1605712191  6033180000.0
51.528915343  6030820000.0
47.4830363223  6028450000.0
87.6030495724  3.07931e+12
48.9458606892  15887600000.0
44.0717654993  19522200000.0
50.402504577  6004820000.0
46.204211402  6066260000.0
51.3500621571  5997730000.0
49.6675885395  5993010000.0
44.4129285102  6794120000.0
52.5277074396  7547970000.0
50.5474550567  5962280000.0
55.4381363418  5957560000.0
52.8887992897  5948110000.0
55.7905438973  5938650000.0
48.0178304975  5922110000.0
50.2748063568  5915020000.0
47.8999883383  5915020000.0
51.6412921083  5905570000.0
56.7071262038  7250210000.0
53.9124966012  5889030000.0
51.2437581252  5884300000.0
52.426482934  5884300000.0
49.7578519709  5879570000.0
51.156832098  5877210000.0
46.5449202985  5872480000.0
47.985223256  5872480000.0
46.6720364398  5870120000.0
49.4788371497  5865390000.0
55.5769482702  5858310000.0
55.4373485776  5855940000.0
46.0394589327  5848850000.0
51.4452892787  5848850000.0
51.2199326851  5846490000.0
53.7264843785  5839400000.0
48.4521998872  5829950000.0
50.1399892014  5825220000.0
53.7187367803  5813400000.0
47.2774906165  5808680000.0
50.6519832155  2.9692e+12
47.2832637534  5796860000.0
50.3660683672  5792140000.0
47.2112689388  5782680000.0
45.3782719174  5910300000.0
55.6584969992  5766140000.0
45.5159543163  5761420000.0
45.6658231611  5957560000.0
53.3883007214  5754330000.0
49.7697480431  5789770000.0
55.5717262037  5723600000.0
49.2519261383  5716510000.0
45.2564956884  5709430000.0
51.3131890001  5709430000.0
48.2139997685  5699970000.0
51.3902346707  8181300000.0
