#X(10*Mpc)   Y(10*Mpc)  Z(10*Mpc)  Potencial
17.20752494  34.68949409  27.58024383  2.24980920818e+24
23.93134156  35.03887064  38.34428439  9.08767048454e+23
20.66228228  34.43105017  27.78097157  1.13138033733e+24
21.62077399  33.74379247  35.0081816  1.02817191133e+24
16.80757024  36.16825348  35.10998681  9.4558026417e+23
22.57134667  28.94500519  26.63946898  2.51794292176e+24
21.15019739  28.83636106  30.47261364  1.09665434495e+24
21.67668319  33.79075782  29.8219529  1.22459862015e+24
21.55977877  32.97257987  30.76818691  1.10258472679e+24
21.21018975  27.96366365  34.87762983  9.1596856921e+23
20.06899555  32.32512847  28.84070272  1.75802750088e+24
24.3176075  37.17264175  31.17015114  9.52058187763e+23
21.07189486  28.48309108  30.81704606  9.80387084485e+23
19.73053779  31.09448897  26.9728196  1.2313972721e+24
21.17172358  32.41970198  36.34873417  1.00762743418e+24
20.61863076  29.64350855  38.7162473  9.25393487173e+23
20.64332749  30.14425298  29.7056258  1.08908079752e+24
21.1943891  34.56494558  28.31570535  1.07337585947e+24
6.34246057  31.2824757  45.54164782  5.99400245189e+26
25.80972339  34.96508397  32.1049454  9.03626487185e+23
52.4421309  41.68016834  24.40587186  3.12864380153e+26
21.51343576  28.64088348  30.27466649  9.45994451401e+23
20.79385665  28.84107493  31.1773343  9.54006018078e+23
19.29578868  30.960152  27.66120467  1.12883432811e+24
23.82236991  39.73971367  14.33214748  6.64258385937e+26
20.53639406  33.4883459  37.865698  1.06078414119e+24
17.3748918  34.05914882  32.35668413  9.46958055644e+23
25.72881822  35.76955558  39.25281889  1.10025097077e+24
26.69125711  34.98986832  31.72161646  8.62946594915e+23
22.27078569  34.68889532  38.03378546  9.22104854858e+23
21.95430171  32.0499478  34.35323309  9.53630058809e+23
24.29157455  34.28951695  31.23615984  9.24938071609e+23
17.47353833  31.6638929  29.43090623  9.88567452327e+23
20.12336915  30.64527328  29.31620659  1.01980466536e+24
21.92507535  32.69148515  31.72122286  9.94667653199e+23
25.12207295  34.17257214  37.34874153  8.23364377388e+23
28.86568509  34.59148327  29.32652626  1.05791594213e+24
19.84155092  26.34020596  32.88975685  8.46554284839e+23
18.59777959  34.17252656  38.4493761  8.70900996179e+23
22.41626144  34.94078384  38.19167267  8.78343150716e+23
19.72248987  30.96595101  29.23014826  1.02065406931e+24
17.51426212  37.32060328  28.10812725  1.58668257282e+24
21.04750995  33.54370654  37.38698257  1.81380224901e+24
19.40395811  33.24135583  33.56157155  9.21887167891e+23
20.91352243  26.58712106  34.09154711  8.51679398666e+23
11.73558813  29.29758983  47.34034083  3.70384439844e+26
21.96609354  34.53782122  32.59252262  9.23340936871e+23
20.89125076  33.47208564  38.54699907  9.51939511932e+23
19.8921814  30.20722382  26.55672343  1.63741511727e+24
20.50063774  30.45653788  26.19956131  1.1210192281e+24
23.4995269  34.38967984  35.02877093  8.67437243734e+23
25.18413777  36.60791902  28.80335317  8.75126325213e+23
21.15383966  30.76524262  31.00474322  9.33445819581e+23
24.08565852  34.02287661  25.65514733  3.17001206436e+25
20.62768866  31.00552249  24.95686341  1.18877508219e+24
18.82265538  32.38078937  40.14649649  8.79180905872e+23
18.83300447  31.33281052  27.31683483  1.03413398804e+24
27.48932696  34.27500836  32.67292763  7.9322697207e+23
19.95584746  29.91696444  26.88062117  1.2966818607e+24
27.61024395  34.34861041  32.21409726  7.90764426943e+23
19.00269705  31.45091887  27.56665864  1.0455322233e+24
19.84387467  30.20047842  26.44280971  1.32257884699e+24
28.63522927  33.9949077  14.59241736  4.20098331599e+26
20.82395638  32.95387127  37.18330242  9.87234033512e+23
20.73137953  26.25493945  33.69691657  7.8766007936e+23
18.99098121  31.56894415  39.60601906  1.30189852217e+24
18.6143073  32.92597627  27.79209216  1.0387666861e+24
